name	kind	defined_by	required_by	signature	zcc_status	test	severity
br_rsa_i62_public	public_api	rsa_i62_pub.c	bearssl_rsa.h	uint32_t br_rsa_i62_public(unsigned char*, size_t, const br_rsa_public_key*)	SUPPORTED	test_br_rsa	P0
br_ec_impl	vtable_struct	ec.c	bearssl_ec.h	struct br_ec_impl_	SUPPORTED	test_br_ec	P0
br_ec_all_m15	public_symbol	ec_all_m15.c	bearssl_ec.h	const br_ec_impl br_ec_all_m15	SUPPORTED	test_br_ec	P0
br_ec_all_m31	public_symbol	ec_all_m31.c	bearssl_ec.h	const br_ec_impl br_ec_all_m31	SUPPORTED	test_br_ec	P0
br_ecdsa_i15_vrfy_raw	public_api	ecdsa_i15_vrfy.c	bearssl_ec.h	uint32_t br_ecdsa_i15_vrfy_raw(const br_ec_impl*, const void*, size_t, const br_ec_public_key*, const void*, size_t)	SUPPORTED	test_br_ecdsa	P0
br_ecdsa_i31_vrfy_raw	public_api	ecdsa_i31_vrfy.c	bearssl_ec.h	uint32_t br_ecdsa_i31_vrfy_raw(const br_ec_impl*, const void*, size_t, const br_ec_public_key*, const void*, size_t)	SUPPORTED	test_br_ecdsa	P0
br_ssl_engine_context	core_type	ssl_engine.c	bearssl_ssl.h	struct br_ssl_engine_context_	SUPPORTED	test_br_ssl	P0
br_ssl_client_context	core_type	ssl_client.c	bearssl_ssl.h	struct br_ssl_client_context_	SUPPORTED	test_br_ssl	P0
br_ssl_server_context	core_type	ssl_server.c	bearssl_ssl.h	struct br_ssl_server_context_	SUPPORTED	test_br_ssl	P0
memcpy	libc_dep	string.h	bearssl.h	void* memcpy(void*, const void*, size_t)	PROVEN	test_libc_mem	P0
memmove	libc_dep	string.h	bearssl.h	void* memmove(void*, const void*, size_t)	PROVEN	test_libc_mem	P0
memset	libc_dep	string.h	bearssl.h	void* memset(void*, int, size_t)	PROVEN	test_libc_mem	P0
memcmp	libc_dep	string.h	bearssl.h	int memcmp(const void*, const void*, size_t)	PROVEN	test_libc_mem	P0
strlen	libc_dep	string.h	bearssl.h	size_t strlen(const char*)	PROVEN	test_libc_str	P0
uint32_wraparound	compiler_construct	sha2big.c	bearssl_hash.h	uint32_t modulo 2^32	PROVEN	test_u32_wrap	P0
uint64_wraparound	compiler_construct	sha2big.c	bearssl_hash.h	uint64_t modulo 2^64	PROVEN	test_u64_wrap	P0
bit_rotations	compiler_construct	md5.c	sha1.c	(x << n) | (x >> (32 - n))	SUPPORTED	test_rot	P0
constant_time_mask	compiler_construct	ct_mul.c	bearssl.h	(uint32_t)(0 - (cond != 0))	SUPPORTED	test_ct_mask	P0
branchless_select	compiler_construct	ct_mul.c	bearssl.h	(x & mask) | (y & ~mask)	SUPPORTED	test_ct_select	P0
carry_propagation	compiler_construct	i31_mul.c	rsa_i31.c	hi = (uint64_t)a * b + carry	SUPPORTED	test_carry64	P0
